;0
0;sm_tranining_academy
1;html_e_css
2;denis_rogerio10
3;rafaelbastos9524
4;dumarcalapsu
5;robot_inmoov
6;marquinhos.ceara
7;opencv_python
8;heberton.pach
9;shopee_arduino
10;julio_mguerra
11;carro_autonomo
12;renatofabro
13;wislley131
14;santoantonio434
15;oficial.felipereira
16;3.d.y_el_master_
17;arduinoparaleigos
18;iansommerville_
19;m.faridadz
20;vicenzobit
21;arduinoedu
22;rbsantiago.com.br
23;livrocodigolimpo
24;dougdev.br
25;wave.bat888
26;eletronica_omega
27;use_a_cabeca
28;livros_de_programacao
29;algoritmox86
30;aranjhonn
31;noticiasnasa
32;arthurdangel_gamer
33;ciencia.de.dados_
34;mrmarciogomes
35;euseiphp
36;psychopass_anime
37;codecomoumagarota
38;_jfelipe
39;pgerc.unilab
40;owcpiriz
41;scarponemario.it
42;sinpprovolce
43;glenda.zuu
44;raimundo.robotica
45;proftaylon_
46;fritzing_electronics
47;legoev3brasil
48;duolingo_br
49;automacao84
50;rodrigoll01
51;ajsdelectronico
52;eitjemagdat
53;prof.diegoassunpcao
54;the_reader.7
55;sr.sabido
56;carlosaugustoblf
57;eng.desoftware
58;romilton.costa
59;barros_tecnolog
60;timgad.elect
61;nariely.lopes
62;freemandadi
63;dani_pinheiro13
64;fenix_excelsior
65;jogiferreira
66;monsterprogramming
67;roboticaacessivel
68;arthurdangel.gamer
69;ab.inaya6366
70;bancodedados_sql
71;soaresmarcelo290
72;certificacaoarduino
73;honda_cbr.650r
74;professores_de_robotica
75;barros_estefany
76;carolina_developer
77;donnis_kilvisson
78;emesonboorges
79;esp32community
80;joseavelino51
81;inovacao_tecnologica_
82;profsandromesquita
83;termos_de_programador
84;angelasantoscosta1
85;zoeiratech
86;edivardsousa
87;abnerisr
88;robomepro
89;mramzanpk
90;_rayssa.v
91;php_ce
92;manishpandey1447
93;hermesonfg
94;phpcomrapadura
95;curso.de.robotica
96;arduinonaautomacao
97;nandokstrogames
98;pneucisrobotics
99;igoraraujopaulo
100;fabioferreiraribeiro5
101;liz_coelhomesquita
102;enigmaticos9070
103;silvio.b.serafim
104;andreiricardoribeiro
105;arduino_brasileiro
106;beneditomaximocursos
107;iwtrainingeducacao
108;bergpb_
109;junioroliveira.shyko
110;samba_diop_sopendiolfouta
111;netoash
112;aztechsistemas
113;juniiorcezzar
114;nestorlanadasilva
115;internet.of.things_4.0
116;euismaelsantana
117;rodrigorogercm
118;canil.boiadeiro.australiano
119;sandro_mesquita_
120;jorge.ppy.sh
121;thiago.8061
122;henriquepappis
123;georgeferreira660
124;thiel.serra
125;soareseedu
126;ejnoleto
127;hudsondeveloper
128;naerdson
129;projetosmakers
130;l.l.s.1981
131;arduinoceara
132;domsamuka
133;komthie
134;anwarkish
135;raspberryceara
136;phpmaranhao
137;r_.mendes
138;lucas.w3ndel
139;everaldo.dev
140;ayrtoncs18
141;sathishbuwanesh
142;roboticmente
143;painful_201
144;dimassulz
145;julianofritzbasso
146;m4rco_mor4es
147;eu.janainaoliver
148;sma_root
149;nstiweb
150;mthiago84
151;jnr.rogerio
152;c.plus.2
153;cilenecavalcantebarbosa
154;cursosti_uniateneu
155;antoniocesar1159
156;heghbertho
157;python0800
158;pedromorais98
159;fabiooliveira.ti
160;arquiteturadecomputador
161;aprendahtml
162;leandroalvesmachado
163;desenvolvedor.python
164;wesley_scarvalho
165;pythonceara
166;0_luminess_0
167;marcelojuniors66
